symbol,K,Z_FE,p_FE,Q,tau2,I2,Z_RE,p_RE,FDR_RE,consistency,meta_FDR,FDR_FE,nerve_injury_consistency,K_nerve_injury,incision_lfc,incision_measured,incision_agreement
RBM34,6,1.3419142058743396,0.17962381508942404,12.844849630267392,0.6087652724599781,61.07389230763681,0.08215441856284451,0.9345239195782911,0.9746464069959556,0.6666666666666666,0.2866499602159816,0.2866499602159802,0.6,5,-0.0162519073036566,True,0.0
AMFR,6,1.3418079473174966,0.17965827471662887,1.9951273821119437,0.0,0.0,1.3418079473174966,0.17965827471662887,0.44723288649475024,0.8333333333333334,0.2866773125527466,0.28667731255274664,0.8,5,0.0299191080410254,True,1.0
CRK,6,1.3417124083645193,0.17968926217361159,5.635024516219218,0.04927830243468688,11.26924140953487,1.0668309215299305,0.2860481927552372,0.5639868596169966,0.5,0.2866991196739559,0.28669911967395595,0.6,5,0.221858371701149,True,1.0
TEX29,4,-1.3414254665445273,0.17978235382629115,2.9831616271966426,0.0,0.0,-1.3414254665445273,0.17978235382629115,0.44741505345553617,0.75,0.2868200019790624,0.28682000197906227,1.0,3,0.0190324703383504,True,0.0
SLC10A5,3,-1.3412757529657806,0.17983093916985482,3.437183795850727,0.2621705790162481,41.81282937460765,-0.5419652480930278,0.5878424463575423,0.7917452693688517,0.6666666666666666,0.2868698636410405,0.28686986364104056,0.6666666666666666,3,,False,
RADIL,6,1.340798871848248,0.17998576260640842,5.424466841330222,0.032938894241598286,7.8250426031940075,1.3531132412719347,0.17601945610422398,0.44345819318076224,0.8333333333333334,0.2870891724642259,0.28708917246422594,1.0,5,-0.0496288601221119,True,0.0
ARMC8,6,-1.3407337200023615,0.18000692238521132,8.485805423696696,0.27050069644570857,41.07807390872468,-0.5327642939035598,0.594196753574862,0.7956593046817503,0.5,0.287095257209486,0.2870952572094833,0.6,5,0.0226547837364909,True,0.0
TOMM70A,3,-1.3399889639850167,0.1802489328754847,2.148141543678904,0.05744263938569746,6.896265477236523,-1.3181898817918187,0.1874400917949831,0.4566894822093329,1.0,0.2874535443641028,0.2874535443641028,1.0,3,,False,
TRMO,6,1.3396820706481585,0.18034872899440801,5.875077244515369,0.0679065453499034,14.894735985510493,1.2368868877540238,0.21612907864363717,0.48946316000987966,0.6666666666666666,0.2875849867355916,0.28758498673559163,0.8,5,-0.025264753461633,True,0.0
MATN1,4,-1.3393400771107467,0.18045998740657043,4.073162017083095,0.10300998611138404,26.347147807580125,-0.9503708597392481,0.3419238452618939,0.6123037419425368,0.75,0.2877346798529577,0.2877346798529577,0.6666666666666666,3,-0.0190707827929144,True,1.0
