miRNA,log2FC,t,p,FDR
hsa-miR-1255b-5p,-0.18786446169926396,-1.862942347323383,0.06779581062138244,0.37836879782548083
hsa-miR-615-3p,0.23788755390198418,1.8535758119305825,0.06897185161849127,0.3827937764826266
hsa-miR-340-5p,0.3345448509471076,1.8378675895319134,0.07134826078611013,0.38645047819567313
hsa-miR-210-5p,-0.15141293493449234,-1.8484657951380317,0.07185523830639336,0.38645047819567313
hsa-miR-548c-3p,0.12461003426837328,1.8520128524411947,0.07269786402323032,0.38645047819567313
hsa-miR-299-5p,0.2799345772577114,1.8301008458218964,0.07272366343409954,0.38645047819567313
hsa-miR-339-5p,0.4728796837644067,1.8270267366657085,0.07295640264891198,0.38645047819567313
hsa-miR-143-5p,0.45529973361387066,1.8252178438281934,0.07312146418843742,0.38645047819567313
hsa-miR-660-5p,0.21345178600602477,1.8247474564709711,0.07345861477811377,0.38645047819567313
hsa-miR-676-3p,-0.3540302135594051,-1.824625438650934,0.07395597163386622,0.38645047819567313
hsa-miR-339-3p,0.2717025497450205,1.822710629469854,0.07399032482651051,0.38645047819567313
hsa-miR-3613-3p,0.42530990934177093,1.818594173867365,0.07414130661495102,0.38645047819567313
hsa-miR-3688-5p,0.3181455638448858,1.8177399467951834,0.07432778392346633,0.38645047819567313
hsa-miR-1468-5p,0.2871516203976354,1.817175788600621,0.07435871803335886,0.38645047819567313
hsa-miR-548j-5p,0.4431361767001083,1.8196114695282377,0.07465960189365857,0.38645047819567313
hsa-miR-496,0.27685197683373874,1.8114133309639737,0.07536835395821675,0.3881081732178275
hsa-miR-3613-5p,0.29105645357093657,1.7981655541768664,0.07737148838226772,0.39413401305811957
hsa-miR-6772-3p,0.18450631172322263,1.8044635596644603,0.0777126752391953,0.39413401305811957
hsa-miR-23c,-0.2340653192998393,-1.805463160905706,0.0777221226951447,0.39413401305811957
hsa-miR-6505-3p,0.27281782893969775,1.7909946119458189,0.07851783594429186,0.39531635422756384
hsa-miR-624-5p,0.3722817953305415,1.790139961174829,0.07874670119247767,0.39531635422756384
hsa-miR-378c,0.24056233386029247,1.786401277703963,0.07934283020414135,0.39631743686968607
hsa-miR-9-3p,0.43294082263407274,1.782164730338764,0.08055250096303285,0.40035795254761103
